Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
93,0.05712,0.12612,0.18074,0.20127,0.22374,0.24802,0.27379,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5,0.5,0.5
94,0.08479,0.16323,0.20127,0.22374,0.24802,0.27379,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.12262,0.20127,0.22374,0.24802,0.27379,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Nonsmoker, Residual Standard, Female, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00036,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00038,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00109,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00111,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00118,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00123,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00129,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00138,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00149,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00164,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00182,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00204,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00227,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0025,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00272,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00294,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00316,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00341,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0037,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00404,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00442,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00486,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00533,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00584,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00639,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00699,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00765,,,,,,,,,,,,,,,,,,,,,,,,
