Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
95,0.15055,0.27749,0.29583,0.31619,0.33824,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166,0.8594,0.90421,0.95108

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Preferred, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00091,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00094,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00118,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00127,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00138,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0015,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00183,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00207,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00233,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00259,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00284,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00306,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00321,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00338,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00358,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00381,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00406,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00434,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00466,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00503,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00545,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0059,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00642,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00701,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00767,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00843,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00929,,,,,,,,,,,,,,,,,,,,,,,,
59,0.01028,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01141,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01271,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01418,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01579,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01757,,,,,,,,,,,,,,,,,,,,,,,,
